"date","origin","destination","timeStart","timeArrive","type"
"周一","西土城校区","沙河校区","06:50:00","07:50:00","校车"
"周一","西土城校区","沙河校区","08:30:00","09:30:00","校车"
"周一","西土城校区","沙河校区","12:00:00","13:00:00","校车"
"周一","西土城校区","沙河校区","13:30:00","14:30:00","校车"
"周一","西土城校区","沙河校区","14:20:00","15:20:00","校车"
"周一","西土城校区","沙河校区","16:50:00","17:50:00","校车"
"周二","西土城校区","沙河校区","06:50:00","07:50:00","校车"
"周二","西土城校区","沙河校区","08:30:00","09:30:00","校车"
"周二","西土城校区","沙河校区","12:00:00","13:00:00","校车"
"周二","西土城校区","沙河校区","13:30:00","14:30:00","校车"
"周二","西土城校区","沙河校区","14:20:00","15:20:00","校车"
"周二","西土城校区","沙河校区","16:50:00","17:50:00","校车"
"周三","西土城校区","沙河校区","06:50:00","07:50:00","校车"
"周三","西土城校区","沙河校区","08:30:00","09:30:00","校车"
"周三","西土城校区","沙河校区","12:00:00","13:00:00","校车"
"周三","西土城校区","沙河校区","13:30:00","14:30:00","校车"
"周三","西土城校区","沙河校区","16:50:00","17:50:00","校车"
"周四","西土城校区","沙河校区","06:50:00","07:50:00","校车"
"周四","西土城校区","沙河校区","08:30:00","09:30:00","校车"
"周四","西土城校区","沙河校区","12:00:00","13:00:00","校车"
"周四","西土城校区","沙河校区","13:30:00","14:30:00","校车"
"周四","西土城校区","沙河校区","14:20:00","15:20:00","校车"
"周四","西土城校区","沙河校区","16:50:00","17:50:00","校车"
"周五","西土城校区","沙河校区","06:50:00","07:50:00","校车"
"周五","西土城校区","沙河校区","08:30:00","09:30:00","校车"
"周五","西土城校区","沙河校区","12:00:00","13:00:00","校车"
"周五","西土城校区","沙河校区","13:30:00","14:30:00","校车"
"周六","西土城校区","沙河校区","08:00:00","09:00:00","校车"
"周六","西土城校区","沙河校区","10:00:00","11:00:00","校车"
"周六","西土城校区","沙河校区","13:00:00","14:00:00","校车"
"周六","西土城校区","沙河校区","16:00:00","17:00:00","校车"
"周日","西土城校区","沙河校区","08:00:00","09:00:00","校车"
"周日","西土城校区","沙河校区","10:00:00","11:00:00","校车"
"周日","西土城校区","沙河校区","13:00:00","14:00:00","校车"
"周日","西土城校区","沙河校区","16:00:00","17:00:00","校车"
"周一","沙河校区","西土城校区","09:50:00","10:50:00","校车"
"周一","沙河校区","西土城校区","11:40:00","12:40:00","校车"
"周一","沙河校区","西土城校区","13:00:00","14:00:00","校车"
"周一","沙河校区","西土城校区","15:45:00","16:45:00","校车"
"周一","沙河校区","西土城校区","17:10:00","18:10:00","校车"
"周一","沙河校区","西土城校区","18:25:00","19:25:00","校车"
"周一","沙河校区","西土城校区","21:10:00","22:10:00","校车"
"周二","沙河校区","西土城校区","09:50:00","10:50:00","校车"
"周二","沙河校区","西土城校区","11:40:00","12:40:00","校车"
"周二","沙河校区","西土城校区","13:00:00","14:00:00","校车"
"周二","沙河校区","西土城校区","15:45:00","16:45:00","校车"
"周二","沙河校区","西土城校区","17:10:00","18:10:00","校车"
"周二","沙河校区","西土城校区","18:25:00","19:25:00","校车"
"周二","沙河校区","西土城校区","21:10:00","22:10:00","校车"
"周三","沙河校区","西土城校区","09:50:00","10:50:00","校车"
"周三","沙河校区","西土城校区","11:40:00","12:40:00","校车"
"周三","沙河校区","西土城校区","13:00:00","14:00:00","校车"
"周三","沙河校区","西土城校区","15:45:00","16:45:00","校车"
"周三","沙河校区","西土城校区","17:10:00","18:10:00","校车"
"周三","沙河校区","西土城校区","18:25:00","19:25:00","校车"
"周三","沙河校区","西土城校区","21:10:00","22:10:00","校车"
"周四","沙河校区","西土城校区","09:50:00","10:50:00","校车"
"周四","沙河校区","西土城校区","11:40:00","12:40:00","校车"
"周四","沙河校区","西土城校区","13:00:00","14:00:00","校车"
"周四","沙河校区","西土城校区","15:45:00","16:45:00","校车"
"周四","沙河校区","西土城校区","17:10:00","18:10:00","校车"
"周四","沙河校区","西土城校区","18:25:00","19:25:00","校车"
"周四","沙河校区","西土城校区","21:10:00","22:10:00","校车"
"周五","沙河校区","西土城校区","09:50:00","10:50:00","校车"
"周五","沙河校区","西土城校区","11:40:00","12:40:00","校车"
"周五","沙河校区","西土城校区","13:00:00","14:00:00","校车"
"周五","沙河校区","西土城校区","15:45:00","16:45:00","校车"
"周五","沙河校区","西土城校区","17:10:00","18:10:00","校车"
"周五","沙河校区","西土城校区","18:25:00","19:25:00","校车"
"周五","沙河校区","西土城校区","21:10:00","22:10:00","校车"
"周六","沙河校区","西土城校区","08:00:00","09:00:00","校车"
"周六","沙河校区","西土城校区","10:00:00","11:00:00","校车"
"周六","沙河校区","西土城校区","13:00:00","14:00:00","校车"
"周六","沙河校区","西土城校区","16:00:00","17:00:00","校车"
"周日","沙河校区","西土城校区","08:00:00","09:00:00","校车"
"周日","沙河校区","西土城校区","10:00:00","11:00:00","校车"
"周日","沙河校区","西土城校区","13:00:00","14:00:00","校车"
"周日","沙河校区","西土城校区","16:00:00","17:00:00","校车"
